id,naslov,avtor,ocene,povprecje,stevilo_glasujocih,tocke
2832909,An Echo in the Bone,Diana Gabaldon,"90,008",4.43,54,"4,349"
321645,Kissed by an Angel/The Power of Love/Soulmates,Elizabeth Chandler,"24,378",4.08,56,"4,342"
13639050,Gabriel's Rapture,Sylvain Reynard,"98,707",4.22,53,"4,340"
21853621,The Nightingale,Kristin Hannah,"368,200",4.55,52,"4,328"
693208,The Absolutely True Diary of a Part-Time Indian,Sherman Alexie,"181,829",4.12,56,"4,326"
23878,Chronicle of a Death Foretold,Gabriel García Márquez,"86,419",3.95,65,"4,322"
18452,The Painted Bird,Jerzy Kosiński,"16,641",3.95,58,"4,303"
10194514,Pushing the Limits,Katie McGarry,"103,800",4.08,49,"4,298"
76527,"The Life and Opinions of Tristram Shandy, Gentleman",Laurence Sterne,"16,519",3.74,58,"4,295"
17314430,Wait for You,J. Lynn,"118,405",4.19,55,"4,294"
767680,If You Give a Mouse a Cookie,Laura Joffe Numeroff,"209,784",4.24,72,"4,283"
12172,Memoirs of Hadrian,Marguerite Yourcenar,"12,604",4.25,55,"4,283"
12716010,Rapture,Lauren Kate,"88,132",4.03,58,"4,280"
567704,Imajica,Clive Barker,"18,019",4.16,52,"4,280"
11250317,The Song of Achilles,Madeline Miller,"65,071",4.28,46,"4,276"
6507691,The Manufactured Identity,Heath Sommer,399,3.52,43,"4,256"
19494,The Spy Who Came In from the Cold,John le Carré,"49,863",4.06,71,"4,247"
28260587,Empire of Storms,Sarah J. Maas,"89,353",4.58,47,"4,244"
12781,The Satanic Verses,Salman Rushdie,"44,484",3.71,65,"4,240"
213753,Life As We Knew It,Susan Beth Pfeffer,"101,244",3.89,58,"4,238"
95617,A Voice in the Wind,Francine Rivers,"59,770",4.59,50,"4,234"
1768603,The White Tiger,Aravind Adiga,"129,618",3.72,55,"4,231"
429138,River God,Wilbur Smith,"28,346",4.20,54,"4,231"
42156,Something Borrowed,Emily Giffin,"445,828",3.83,57,"4,226"
50365,A Suitable Boy,Vikram Seth,"36,515",4.10,52,"4,186"
56759,The Mayor of Casterbridge,Thomas Hardy,"45,967",3.80,69,"4,169"
43015,A Long Way Gone: Memoirs of a Boy Soldier,Ishmael Beah,"130,124",4.14,57,"4,157"
48464,A Good Man is Hard to Find and Other Stories,Flannery O'Connor,"31,768",4.24,64,"4,148"
25701594,Complicate Me,M.  Robinson,"6,873",4.19,42,"4,146"
46306,The Complete Fairy Tales,Hans Christian Andersen,"96,117",4.29,70,"4,137"
18521,A Room of One's Own,Virginia Woolf,"76,973",4.11,65,"4,125"
4952,What Is the What,Dave Eggers,"66,232",4.16,53,"4,119"
13539044,The Silver Linings Playbook,Matthew Quick,"132,538",4.00,53,"4,114"
51893,Thus Spoke Zarathustra,Friedrich Nietzsche,"82,263",4.05,52,"4,111"
6604794,The Sky Is Everywhere,Jandy Nelson,"74,730",4.03,48,"4,109"
68494,Perdido Street Station,China Miéville,"48,128",3.97,49,"4,105"
4921,Three Men in a Boat,Jerome K. Jerome,"41,166",3.90,57,"4,075"
113304,The Thief Lord,Cornelia Funke,"70,066",3.95,57,"4,075"
22242097,Honor and Polygamy,Omar Farhad,146,4.26,43,"4,071"
2612,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,"531,202",3.93,62,"4,070"
7742,"Ahab's Wife, or The Star-Gazer",Sena Jeter Naslund,"38,452",4.03,53,"4,068"
17617277,Real,Katy Evans,"90,508",4.21,50,"4,067"
14554,If Tomorrow Comes,Sidney Sheldon,"50,031",4.02,53,"4,066"
